bowler,total_runs,ball,overs,economy_rate
HH Pandya,2196,1485,247.5,8.872727272727273
HR Shokeen,320,213,35.5,9.014084507042254
HV Patel,3215,2284,380.6666666666667,8.44570928196147
Harbhajan Singh,4101,3496,582.6666666666666,7.0383295194508015
Harmeet Singh,747,574,95.66666666666667,7.808362369337979
Harpreet Brar,907,692,115.33333333333333,7.864161849710983
Harshit Rana,590,403,67.16666666666667,8.784119106699752
I Malhotra,23,6,1.0,23.0
I Sharma,3255,2429,404.8333333333333,8.04034582132565
I Udana,286,182,30.333333333333332,9.428571428571429
IC Pandey,609,469,78.16666666666667,7.791044776119403
IC Porel,42,26,4.333333333333333,9.692307692307693
IK Pathan,2711,2113,352.1666666666667,7.698059630856601
IS Sodhi,204,182,30.333333333333332,6.725274725274725
Imran Tahir,1729,1340,223.33333333333334,7.741791044776119
Iqbal Abdulla,1125,943,157.16666666666666,7.158006362672323
J Botha,818,709,118.16666666666667,6.922425952045134
J Little,341,236,39.333333333333336,8.669491525423728
J Suchith,604,434,72.33333333333333,8.350230414746544
J Syed Mohammad,286,196,32.666666666666664,8.755102040816327
J Theron,311,235,39.166666666666664,7.940425531914894
J Yadav,447,398,66.33333333333333,6.738693467336684
JA Morkel,2409,1807,301.1666666666667,7.998893193137797
JA Richardson,162,94,15.666666666666666,10.340425531914894
JC Archer,1210,987,164.5,7.355623100303951
JD Ryder,314,241,40.166666666666664,7.817427385892117
JD Unadkat,3219,2194,365.6666666666667,8.803099361896079
JDP Oram,362,244,40.666666666666664,8.901639344262296
JDS Neesham,342,222,37.0,9.243243243243244
JE Root,15,12,2.0,7.5
JE Taylor,167,122,20.333333333333332,8.213114754098362
JEC Franklin,225,155,25.833333333333332,8.70967741935484
JH Kallis,2348,1799,299.8333333333333,7.8310172317954425
JJ Bumrah,3840,3185,530.8333333333334,7.233908948194662
JJ van der Wath,134,76,12.666666666666666,10.578947368421053
JL Pattinson,321,222,37.0,8.675675675675675
JM Kemp,58,47,7.833333333333333,7.404255319148937
JO Holder,1489,1049,174.83333333333334,8.516682554814109
JP Behrendorff,563,379,63.166666666666664,8.91292875989446
JP Duminy,847,701,116.83333333333333,7.249643366619116
JP Faulkner,1849,1287,214.5,8.62004662004662
JPR Scantlebury-Searles,89,45,7.5,11.866666666666667
JR Hazlewood,830,622,103.66666666666667,8.006430868167202
JR Hopes,562,369,61.5,9.138211382113822
JW Hastings,66,61,10.166666666666666,6.491803278688525
Jalaj S Saxena,27,18,3.0,9.0
Jaskaran Singh,174,111,18.5,9.405405405405405
Joginder Sharma,421,272,45.333333333333336,9.286764705882353
K Goel,94,67,11.166666666666666,8.417910447761194
K Gowtham,825,599,99.83333333333333,8.263772954924875
K Kartikeya,334,241,40.166666666666664,8.315352697095436
K Khejroliya,221,129,21.5,10.279069767441861
K Rabada,2652,1907,317.8333333333333,8.34399580492921
K Santokie,91,51,8.5,10.705882352941176
K Upadhyay,81,56,9.333333333333334,8.678571428571429
K Yadav,85,54,9.0,9.444444444444445
KA Jamieson,271,179,29.833333333333332,9.083798882681565
KA Maharaj,39,36,6.0,6.5
KA Pollard,2200,1586,264.3333333333333,8.32282471626734
KAJ Roach,80,52,8.666666666666666,9.230769230769232
KC Cariappa,349,224,37.333333333333336,9.348214285714285
KH Pandya,2644,2183,363.8333333333333,7.267063673843335
KJ Abbott,182,102,17.0,10.705882352941176
KK Ahmed,1918,1345,224.16666666666666,8.556133828996282
KK Cooper,789,600,100.0,7.89
KL Nagarkoti,287,185,30.833333333333332,9.308108108108108
KM Asif,232,143,23.833333333333332,9.734265734265735
KMA Paul,239,180,30.0,7.966666666666667
KMDN Kulasekara,122,107,17.833333333333332,6.841121495327103
KP Appanna,291,222,37.0,7.864864864864865
KP Pietersen,218,180,30.0,7.266666666666667
KR Mayers,59,46,7.666666666666667,7.695652173913043
KR Sen,396,255,42.5,9.31764705882353
KS Williamson,31,18,3.0,10.333333333333334
KT Maphaka,90,39,6.5,13.846153846153847
KV Sharma,2130,1520,253.33333333333334,8.407894736842104
KW Richardson,479,345,57.5,8.330434782608696
Kamran Khan,248,177,29.5,8.40677966101695
Karanveer Singh,323,213,35.5,9.098591549295774
Kartik Tyagi,720,458,76.33333333333333,9.43231441048035
Kuldeep Yadav,2413,1786,297.6666666666667,8.106382978723405
L Ablish,76,45,7.5,10.133333333333333
L Balaji,2083,1574,262.3333333333333,7.940279542566709
L Ngidi,460,342,57.0,8.070175438596491
L Wood,94,38,6.333333333333333,14.842105263157896
LA Carseldine,6,7,1.1666666666666667,5.142857142857142
LB Williams,74,42,7.0,10.571428571428571
LE Plunkett,228,154,25.666666666666668,8.883116883116882
LH Ferguson,1451,1002,167.0,8.688622754491018
LI Meriwala,32,19,3.1666666666666665,10.105263157894738
LJ Wright,125,75,12.5,10.0
LMP Simmons,34,18,3.0,11.333333333333334
LPC Silva,21,6,1.0,21.0
LR Shukla,458,326,54.333333333333336,8.429447852760736
LRPL Taylor,24,13,2.1666666666666665,11.076923076923078
LS Livingstone,395,267,44.5,8.876404494382022
Lalit Yadav,430,294,49.0,8.775510204081632
M Ashwin,1182,898,149.66666666666666,7.8975501113585755
M Jansen,732,487,81.16666666666667,9.018480492813142
M Kartik,1418,1182,197.0,7.197969543147208
M Manhas,42,42,7.0,6.0
M Markande,1081,737,122.83333333333333,8.800542740841248
M Morkel,2136,1699,283.1666666666667,7.543260741612713
M Muralitharan,1765,1581,263.5,6.698292220113852
M Ntini,257,213,35.5,7.23943661971831
M Pathirana,617,503,83.83333333333333,7.359840954274354
M Prasidh Krishna,1741,1231,205.16666666666666,8.48578391551584
M Shahrukh Khan,16,12,2.0,8.0
M Siddharth,72,58,9.666666666666666,7.448275862068966
M Theekshana,814,631,105.16666666666667,7.740095087163232
M Vijay,49,37,6.166666666666667,7.945945945945946
M de Lange,171,116,19.333333333333332,8.844827586206897
MA Khote,52,30,5.0,10.4
MA Starc,1175,879,146.5,8.020477815699659
MA Wood,192,127,21.166666666666668,9.070866141732283
MB Parmar,33,19,3.1666666666666665,10.421052631578949
MC Henriques,1302,979,163.16666666666666,7.9795709908069465
MF Maharoof,532,441,73.5,7.238095238095238
MG Bracewell,95,66,11.0,8.636363636363637
MG Johnson,1740,1301,216.83333333333334,8.024596464258263
MG Neser,62,25,4.166666666666667,14.879999999999999
MJ Clarke,72,66,11.0,6.545454545454546
MJ Henry,183,105,17.5,10.457142857142857
MJ McClenaghan,1839,1346,224.33333333333334,8.197622585438335
MJ Santner,428,370,61.666666666666664,6.940540540540541
MJ Suthar,26,12,2.0,13.0
MK Lomror,127,94,15.666666666666666,8.106382978723405
MK Tiwary,83,45,7.5,11.066666666666666
MM Ali,900,770,128.33333333333334,7.012987012987012
MM Patel,1733,1382,230.33333333333334,7.523878437047757
MM Sharma,3278,2308,384.6666666666667,8.52166377816291
MN Samuels,285,219,36.5,7.808219178082192
MP Stoinis,1300,831,138.5,9.386281588447654
MP Yadav,88,76,12.666666666666666,6.947368421052632
MR Marsh,803,593,98.83333333333333,8.1247892074199
MS Gony,1317,925,154.16666666666666,8.542702702702703
MW Short,25,25,4.166666666666667,6.0
Mandeep Singh,26,12,2.0,13.0
Mashrafe Mortaza,59,28,4.666666666666667,12.642857142857142
Mayank Dagar,205,138,23.0,8.91304347826087
Mohammad Asif,307,199,33.166666666666664,9.256281407035177
Mohammad Hafeez,71,63,10.5,6.761904761904762
Mohammad Nabi,527,419,69.83333333333333,7.5465393794749405
Mohammed Shami,3486,2521,420.1666666666667,8.296707655692185
Mohammed Siraj,2894,2081,346.8333333333333,8.34406535319558
Mohit Rathee,29,12,2.0,14.5
Mohsin Khan,698,507,84.5,8.2603550295858
Monu Kumar,20,16,2.6666666666666665,7.5
Mujeeb Ur Rahman,598,452,75.33333333333333,7.938053097345133
Mukesh Choudhary,452,298,49.666666666666664,9.100671140939598
Mukesh Kumar,707,420,70.0,10.1
Mustafizur Rahman,1792,1353,225.5,7.946784922394679
N Burger,152,105,17.5,8.685714285714285
N Rana,253,185,30.833333333333332,8.205405405405406
N Thushara,259,172,28.666666666666668,9.034883720930232
N Wadhera,13,12,2.0,6.5
NA Saini,35,15,2.5,14.0
NB Singh,18,25,4.166666666666667,4.319999999999999
ND Doshi,79,57,9.5,8.31578947368421
NJ Rimmington,20,18,3.0,6.666666666666667
NL McCullum,35,30,5.0,7.0
NLTC Perera,1031,715,119.16666666666667,8.651748251748252
NM Coulter-Nile,1125,892,148.66666666666666,7.567264573991032
NT Ellis,514,365,60.833333333333336,8.449315068493151
Naman Dhir,55,29,4.833333333333333,11.379310344827587
Navdeep Saini,968,682,113.66666666666667,8.516129032258064
Naveen-ul-Haq,602,407,67.83333333333333,8.874692874692876
Nithish Kumar Reddy,208,118,19.666666666666668,10.576271186440678
Noor Ahmad,672,513,85.5,7.859649122807017
O Thomas,85,63,10.5,8.095238095238095
OC McCoy,255,180,30.0,8.5
OF Smith,179,95,15.833333333333334,11.305263157894736
P Amarnath,241,132,22.0,10.954545454545455
P Awana,1046,774,129.0,8.108527131782946
P Dubey,91,67,11.166666666666666,8.149253731343284
P Kumar,3342,2637,439.5,7.604095563139932
P Negi,954,733,122.16666666666667,7.80900409276944
P Parameswaran,226,159,26.5,8.528301886792454
P Prasanth,18,6,1.0,18.0
P Ray Barman,56,24,4.0,14.0
P Sahu,152,107,17.833333333333332,8.52336448598131
P Suyal,154,107,17.833333333333332,8.63551401869159
PC Valthaty,207,153,25.5,8.117647058823529
